Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Chapter Name,Movie ID,Movie Chapter,Movie Title,Release Year,Runtime,Budget,Box Office,Place Name,Place Category,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),spells_found,first_spell_found,Spell ID,Incantation,Spell Name,Effect,Light,spell,other_sentiment,joy,sadness,anger,surprise,disgust,fear,K-Means_Cluster
11,1,8,7,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,[],,,,,,,,0.0098866624757647,0.00098079117015,0.0009600876364856,0.0439400263130664,0.0014608264900743,0.9412248134613036,0.0015466822078451,1
12,1,8,4,The only family he has.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.7114527225494385,0.0144492080435156,0.2276886403560638,0.0036130531225353,0.0033291925210505,0.0295812897384166,0.0098858447745442,3
13,1,8,7,This boy will be famous. There won't be a child in our world who doesn't know his name.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,[],,,,,,,,0.3025162518024444,0.6855913400650024,0.0028641335666179,0.0014818725176155,0.00322359171696,0.0021625347435474,0.0021601486951112,5
14,1,8,4,Exactly. He's better off growing up away from all that. Until he is ready.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.6475404500961304,0.005055584013462,0.009647799655795,0.0042124046012759,0.0038070750888437,0.3248621225357055,0.0048745777457952,3
15,1,8,4,"There, there, Hagrid. It's not really goodbye, after all.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.8193792104721069,0.0166895929723978,0.1397406458854675,0.0040020258165895,0.0082608293741941,0.0084252255037426,0.0035025333054363,3
16,1,8,4,Good luck...Harry Potter.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.2980832159519195,0.6903908848762512,0.0025169546715915,0.0027777429204434,0.00202919379808,0.0018412159988656,0.0023608033079653,5
17,2,8,32,Up. Get up.  Now!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.0504497252404689,0.0096210865303874,0.0015409042825922,0.909963309764862,0.0058150123804807,0.0191429611295461,0.0034669933374971,4
18,2,8,31,"Wake up, cousin! We're going to the zoo!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.5436020493507385,0.0598977915942668,0.0047528347931802,0.2735471725463867,0.0332780480384826,0.0176329649984836,0.067289188504219,3
19,2,8,32,"Oh, here he comes, the birthday boy!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.0101559637114405,0.9785369634628296,0.001846183091402,0.0027721878141164,0.0040192827582359,0.0014204691397026,0.001248907065019,5
20,2,8,21,"Happy birthday, son.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.0313692539930343,0.9592643976211548,0.0017550055636093,0.0029447597917169,0.0016288141487166,0.0016287356847897,0.001409004908055,5
21,2,8,32,"Why don't you just cook the breakfast, and try not to burn anything.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.9511513710021972,0.0062810122035443,0.0015259489882737,0.003256736556068,0.002762344898656,0.0323952287435531,0.0026274339761584,3
22,2,8,1,"Yes, Aunt Petunia.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.971077024936676,0.0140871684998273,0.0021744871046394,0.0027197941672056,0.0038514360785484,0.0041979718953371,0.0018922364106401,3
23,2,8,32,I want everything to be perfect for my Dudley's special day.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.0885844603180885,0.8890857100486755,0.0121973985806107,0.0012324234703555,0.004183760844171,0.001121214358136,0.0035949980374425,5
24,2,8,21,"Hurry up! Bring my coffee, boy!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.4353584051132202,0.5289907455444336,0.0024885088205337,0.0128196449950337,0.0109472936019301,0.0038210372440516,0.0055743991397321,5
25,2,8,1,"Yes, Uncle Vernon.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.974896252155304,0.0121198259294033,0.0015340729150921,0.0024405573494732,0.0024852810893207,0.0048079402185976,0.0017162010772153,3
26,2,8,32,"Aren't they wonderful, darling?",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.1697459816932678,0.8175292611122131,0.0020681091118603,0.0016808214131742,0.0059996927157044,0.0014027960132807,0.0015733953332528,5
27,2,8,31,How many are there?,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.9378249645233154,0.0296568758785724,0.0054826620034873,0.0030204320792108,0.016297535970807,0.0023897604551166,0.0053278445266187,3
28,2,8,21,Thirty-six. Counted 'em myself.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.9753777980804444,0.0106266774237155,0.0029348121024668,0.0015794392675161,0.0029571179766207,0.0039140530861914,0.0026101998519152,3
29,2,8,31,Thirty-six?! But last year last year I had thirty-seven!!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.9576345086097716,0.0095214685425162,0.0018274106550961,0.0045888838358223,0.0152599634602665,0.0089850528165698,0.0021827651653438,3
30,2,8,21,"Err yes, well, some of them are quite a bit bigger than last year.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.9729071855545044,0.0089002177119255,0.0009689186117611,0.0016884749056771,0.0088915899395942,0.003930530976504,0.002713133348152,3
31,2,8,31,I don't care how big they are!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.9481179118156432,0.0068623782135546,0.0012263000244274,0.005322987679392,0.0095668658614158,0.0232939105480909,0.0056096632033586,3
32,2,8,32,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.6705476641654968,0.2218863070011139,0.0009408690384589,0.0069257314316928,0.0927713885903358,0.0023856316693127,0.0045425510033965,3
33,2,8,32,This will be a lovely day at the zoo. I'm really looking forward to it.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.0104708187282085,0.9793246388435364,0.0020551029592752,0.0023305951617658,0.0027421379927545,0.0013981909723952,0.0016786414198577,5
34,2,8,21,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.9128714203834534,0.0059134350158274,0.0009840101702138,0.0043023289181292,0.0049201636575162,0.0606482662260532,0.0103604970499873,3
35,2,8,31,Make it move.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.961269736289978,0.0061882529407739,0.0018475184915587,0.0039000466931611,0.0027517734561115,0.0203925911337137,0.0036500229034572,3
36,2,8,21,Move!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.952493131160736,0.0148090403527021,0.0030751163139939,0.0101883746683597,0.004433671478182,0.0123793296515941,0.0026213303208351,3
37,2,8,31,MOVE!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.9110863208770752,0.065122365951538,0.0011970578925684,0.009528431110084,0.0063605015166103,0.0051663531921803,0.0015389213804155,3
38,2,8,1,He's asleep!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.8921323418617249,0.0468565300107002,0.0035523003898561,0.0021178040187805,0.0326989777386188,0.0043555065058171,0.0182866752147674,3
39,2,8,31,He's boring.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.173363909125328,0.0025294283404946,0.0042208768427371,0.010821490548551,0.0020530049223452,0.8007564544677734,0.0062547614797949,1
40,2,8,1,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.0703645274043083,0.0016615489730611,0.0046847416087985,0.0123051349073648,0.0011586539912968,0.9078760743141174,0.0019492394058033,1
41,2,8,31,"Mummy, dad, come here! You won't believe what this snake is doing!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.2081868052482605,0.0068439920432865,0.0013350832741707,0.0149390958249568,0.7069706916809082,0.0150389587506651,0.0466854609549045,1
42,2,8,31,Whoa! Ahh! Ahh!!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.0033021215349435,0.0019013726850971,0.0014706681249663,0.0024983552284538,0.987579882144928,0.0014311617705971,0.0018165974179282,1
43,2,8,161,Thanks.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Student,,,,,,,[],,,,,,,,0.61345374584198,0.3730243742465973,0.0027804318815469,0.0031207823194563,0.0030829214956611,0.0027845366857945,0.0017531239427626,3
44,2,8,1,Anytime.,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.9621090888977052,0.0167660824954509,0.0042465687729418,0.0031509536784142,0.0038804083596915,0.0062169693410396,0.0036298967897892,3
45,2,8,139,SNAKE!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Man,,,,,,,[],,,,,,,,0.0470186881721019,0.0061951880343258,0.002137886127457,0.8833137154579163,0.0051728435792028,0.0545585937798023,0.0016030492261052,4
46,2,8,31,"Mum, mummy!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.0489890277385711,0.941472351551056,0.0015026222681626,0.0030135761480778,0.0025152550078928,0.0014197090640664,0.0010873754508793,5
47,2,8,32,AHH!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.2322277277708053,0.0752189010381698,0.0021578399464488,0.010522156022489,0.673368513584137,0.0033107362687587,0.0031941514462232,1
48,2,8,31,"Mum, help! Help me!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.9666643738746644,0.0123195396736264,0.0024836151860654,0.0031597132328897,0.0047776335850358,0.0071563837118446,0.0034386776387691,3
49,2,8,32,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.227276936173439,0.1130301207304,0.0018145733047276,0.0078391656279563,0.6449995040893555,0.0021330786403268,0.0029066251590847,1
50,3,8,32,It's all right. It's all right.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.90601909160614,0.0748876929283142,0.0027208267711102,0.0017985651502385,0.0100662978366017,0.0016814466798678,0.002826216397807,3
51,3,8,1,Ow!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.7708409428596497,0.012565704062581,0.0043781655840575,0.0204028952866792,0.1560270190238952,0.0266754701733589,0.0091098826378583,3
52,3,8,21,What happened?!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.4233660697937011,0.008447247557342,0.0062970924191176,0.0164640638977289,0.515566885471344,0.0140414126217365,0.0158171635121107,1
53,3,8,1,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.0024073445238173,0.0016502446960657,0.0017881984822452,0.0017917883815243,0.9887862205505372,0.0013583892723545,0.0022178553044795,1
54,3,8,21,There's no such thing as magic!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.9406922459602356,0.030751597136259,0.0015480479924008,0.0028051985427737,0.0201245509088039,0.0020443582907319,0.0020339947659522,3
55,3,8,32,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.0320688597857952,0.7853405475616455,0.0375574715435504,0.0023269413504749,0.1391261965036392,0.0015071118250489,0.0020728993695229,5
56,3,8,21,Caveat Smeltona. Proudest moment of my life.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.0364416651427745,0.9537509679794312,0.0036706326063722,0.0017878796206787,0.0015697559574618,0.001485891174525,0.0012931782985106,5
57,3,8,1,"Will I have to wear that, too?",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.9595516920089722,0.0107585433870553,0.0024896755348891,0.0022065876983106,0.0124983871355652,0.0038142057601362,0.008680859580636,3
58,3,8,32,"What, you? Go to Smeltings?",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.9678372144699096,0.006801092531532,0.001107963733375,0.0063287112861871,0.0038080315571278,0.0112159559503197,0.0029009787831455,3
59,3,8,21,Ha!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.8079724907875061,0.0206455551087856,0.0037705155555158,0.0144629850983619,0.1264155954122543,0.013748675584793,0.0129841174930334,3
60,3,8,32,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.928779661655426,0.0136853056028485,0.0007711750804446,0.0327223949134349,0.0037648719735443,0.0151288053020834,0.0051477663218975,3
61,3,8,1,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.9699369072914124,0.0144389839842915,0.0014090603217482,0.0011358938645571,0.0077542681246995,0.0027625921647995,0.0025622430257499,3
62,3,8,32,It'll fit you well enough. Go get the post.  Go!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,,,,,[],,,,,,,,0.5519751310348511,0.4346816837787628,0.0011436060303822,0.0029206888284534,0.0045194816775619,0.0023696057032793,0.0023898116778582,3
63,3,8,21,"Oh, Marge is ill! Ate a funny whelk.",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.9741531610488892,0.0153555274009704,0.0008429341833107,0.0017131553031504,0.00303386291489,0.0034126434475183,0.0014887294964864,3
64,3,8,31,Dad! Look! Harry's got a letter!,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,,,,,[],,,,,,,,0.9583577513694764,0.0119759244844317,0.0010133839678019,0.0066956938244402,0.0125488061457872,0.0070580542087554,0.002350385999307,3
65,3,8,1,"Hey, give it back! It's mine!",Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,[],,,,,,,,0.9275877475738524,0.0150109296664595,0.0018222760409116,0.0327075906097888,0.0091150226071476,0.0103666270151734,0.0033898747060447,3
66,3,8,21,Yours? Who'd be writing to you?,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.976052701473236,0.010820803232491,0.0017545522423461,0.0022298558615148,0.0031179785728454,0.0038853951264172,0.0021386586595326,3
67,3,8,21,No more mail through this letterbox.,Letters from No One,1,3,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,,,,,[],,,,,,,,0.9649864435195924,0.0094660529866814,0.0063305543735623,0.0027250247076153,0.0020556624513119,0.0109288487583398,0.0035074301995337,3
